#HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,AT,Austria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,BE,Belgium,54,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,CZ,Czech Republic,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,DE,Germany,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,DK,Denmark,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,EE,Estonia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,EL,Greece,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,ES,Spain,145,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,EU31_UKX,EU/EEA,373,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,FR,France,19,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,HU,Hungary,16,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,IE,Ireland,50,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,IS,Iceland,38,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,IT,Italy,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,LT,Lithuania,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,LU,Luxembourg,14,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,NL,Netherlands,5,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,NO,Norway,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,PL,Poland,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,PT,Portugal,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,RO,Romania,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,SE,Sweden,16,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,SI,Slovenia,6,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,UKG13182,England,17,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W40,UKN,Northern Ireland,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,AT,Austria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,BE,Belgium,93,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,CZ,Czech Republic,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,DE,Germany,10,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W41,DK,Denmark,1,
